iso_code,country,risk_score,narrative
AFG,Afghanistan,73.5,"Afghanistan's climate risk is high (score: 73.5/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes. Coal accounts for 36% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.9% year-over-year). Climate vulnerability is elevated (0.588), suggesting urgent need for adaptation investment. Key priorities: phasing out coal, accelerating renewable adoption, investing in climate adaptation."
MHL,Marshall Islands,73.4,"Marshall Islands's climate risk is high (score: 73.4/100 as of 2024). Per-capita emissions are relatively low at 4.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.1% year-over-year). Climate vulnerability is elevated (0.590), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
CAF,Central African Republic,72.7,"Central African Republic's climate risk is high (score: 72.7/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.5% year-over-year). Climate vulnerability is elevated (0.579), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
MRT,Mauritania,71.3,"Mauritania's climate risk is high (score: 71.3/100 as of 2024). Per-capita emissions are relatively low at 1.0 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.0% year-over-year). Climate vulnerability is elevated (0.578), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
MLI,Mali,71.0,"Mali's climate risk is high (score: 71.0/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes. Renewable energy adoption is low at 10%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.5% year-over-year). Climate vulnerability is elevated (0.576), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
TUV,Tuvalu,69.7,"Tuvalu's climate risk is moderate (score: 69.7/100 as of 2024). Per-capita emissions are relatively low at 1.2 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Climate vulnerability is elevated (0.576), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
VUT,Vanuatu,68.8,"Vanuatu's climate risk is moderate (score: 68.8/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.8% year-over-year). Climate vulnerability is elevated (0.563), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
BGD,Bangladesh,68.8,"Bangladesh's climate risk is moderate (score: 68.8/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.6% year-over-year). Climate vulnerability is elevated (0.568), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
MDG,Madagascar,67.9,"Madagascar's climate risk is moderate (score: 67.9/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.8% year-over-year). Climate vulnerability is elevated (0.558), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
KIR,Kiribati,67.2,"Kiribati's climate risk is moderate (score: 67.2/100 as of 2024). Per-capita emissions are relatively low at 0.5 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.3% year-over-year). Climate vulnerability is elevated (0.557), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
PNG,Papua New Guinea,67.0,"Papua New Guinea's climate risk is moderate (score: 67.0/100 as of 2024). Per-capita emissions are relatively low at 0.8 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Climate vulnerability is elevated (0.550), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
BEN,Benin,66.9,"Benin's climate risk is moderate (score: 66.9/100 as of 2024). Per-capita emissions are relatively low at 0.4 tonnes. Renewable energy adoption is low at 8%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.3% year-over-year). Climate vulnerability is elevated (0.571), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
MDV,Maldives,66.1,"Maldives's climate risk is moderate (score: 66.1/100 as of 2024). Per-capita emissions are relatively low at 4.4 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.6% year-over-year). Climate vulnerability is elevated (0.550), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
RWA,Rwanda,65.5,"Rwanda's climate risk is moderate (score: 65.5/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Climate vulnerability is elevated (0.567), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
STP,Sao Tome and Principe,65.5,"Sao Tome and Principe's climate risk is moderate (score: 65.5/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.4% year-over-year). Climate vulnerability is elevated (0.542), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
COM,Comoros,65.4,"Comoros's climate risk is moderate (score: 65.4/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.8% year-over-year). Climate vulnerability is elevated (0.541), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
BDI,Burundi,65.0,"Burundi's climate risk is moderate (score: 65.0/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.8% year-over-year). Climate vulnerability is elevated (0.553), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
COD,Democratic Republic of Congo,64.6,"Democratic Republic of Congo's climate risk is moderate (score: 64.6/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Climate vulnerability is elevated (0.561), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
TLS,East Timor,64.0,"East Timor's climate risk is moderate (score: 64.0/100 as of 2024). Per-capita emissions are relatively low at 0.5 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.9% year-over-year). Climate vulnerability is elevated (0.538), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
LBR,Liberia,63.6,"Liberia's climate risk is moderate (score: 63.6/100 as of 2024). Per-capita emissions are relatively low at 0.2 tonnes. Emissions are increasing (+3.0% year-over-year). Climate vulnerability is elevated (0.538), suggesting urgent need for adaptation investment. Key priorities: investing in climate adaptation."
GIN,Guinea,63.4,"Guinea's climate risk is moderate (score: 63.4/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Climate vulnerability is elevated (0.529), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
MWI,Malawi,63.4,"Malawi's climate risk is moderate (score: 63.4/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Renewable energy adoption is low at 13%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.5% year-over-year). Climate vulnerability is elevated (0.549), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
GMB,Gambia,62.3,"Gambia's climate risk is moderate (score: 62.3/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Climate vulnerability is elevated (0.524), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
BFA,Burkina Faso,60.9,"Burkina Faso's climate risk is moderate (score: 60.9/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes. Emissions are increasing (+3.2% year-over-year). Climate vulnerability is elevated (0.521), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
YEM,Yemen,60.4,"Yemen's climate risk is moderate (score: 60.4/100 as of 2024). Per-capita emissions are relatively low at 0.2 tonnes. Renewable energy adoption is low at 15%, presenting a major opportunity for decarbonization. Climate vulnerability is elevated (0.534), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
ZWE,Zimbabwe,60.4,"Zimbabwe's climate risk is moderate (score: 60.4/100 as of 2024). Per-capita emissions are relatively low at 0.8 tonnes. Coal accounts for 62% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.9% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
HTI,Haiti,60.3,"Haiti's climate risk is moderate (score: 60.3/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.7% year-over-year). Climate vulnerability is elevated (0.509), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
UGA,Uganda,60.2,"Uganda's climate risk is moderate (score: 60.2/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Renewable energy adoption is low at 10%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.6% year-over-year). Climate vulnerability is elevated (0.536), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
PLW,Palau,60.0,"Palau's climate risk is moderate (score: 60.0/100 as of 2024). Per-capita emissions stand at 12.8 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.6% year-over-year). Climate vulnerability is elevated (0.513), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, implementing carbon pricing, investing in climate adaptation."
SEN,Senegal,59.9,"Senegal's climate risk is moderate (score: 59.9/100 as of 2024). Per-capita emissions are relatively low at 0.8 tonnes. Climate vulnerability is elevated (0.535), suggesting urgent need for adaptation investment. Key priorities: investing in climate adaptation."
COG,Congo,59.9,"Congo's climate risk is moderate (score: 59.9/100 as of 2024). Per-capita emissions are relatively low at 1.4 tonnes. Renewable energy makes up 45% of the energy mix — a strong position for energy transition. Emissions are rapidly increasing (+6.8% year-over-year). Climate vulnerability is elevated (0.522), suggesting urgent need for adaptation investment. Key priorities: investing in climate adaptation."
WSM,Samoa,59.8,"Samoa's climate risk is moderate (score: 59.8/100 as of 2024). Per-capita emissions are relatively low at 1.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.7% year-over-year). Climate vulnerability is elevated (0.513), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
BTN,Bhutan,59.5,"Bhutan's climate risk is moderate (score: 59.5/100 as of 2024). Per-capita emissions are relatively low at 2.1 tonnes. Coal accounts for 51% of CO₂ emissions, indicating heavy fossil fuel dependency. Emissions are increasing (+1.7% year-over-year). Climate vulnerability is elevated (0.515), suggesting urgent need for adaptation investment. Key priorities: phasing out coal, accelerating renewable adoption, investing in climate adaptation."
PAK,Pakistan,59.1,"Pakistan's climate risk is moderate (score: 59.1/100 as of 2024). Per-capita emissions are relatively low at 0.7 tonnes. Renewable energy adoption is low at 8%, presenting a major opportunity for decarbonization. Emissions are decreasing (-3.8% year-over-year). Climate vulnerability is elevated (0.515), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
ETH,Ethiopia,59.1,"Ethiopia's climate risk is moderate (score: 59.1/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Emissions are increasing (+1.5% year-over-year). Climate vulnerability is elevated (0.522), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
NRU,Nauru,58.6,"Nauru's climate risk is moderate (score: 58.6/100 as of 2024). Per-capita emissions stand at 5.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.4% year-over-year). Climate vulnerability is elevated (0.509), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
AGO,Angola,58.1,"Angola's climate risk is moderate (score: 58.1/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Emissions are increasing (+3.0% year-over-year). Climate vulnerability is elevated (0.506), suggesting urgent need for adaptation investment. Key priorities: investing in climate adaptation."
MMR,Myanmar,57.9,"Myanmar's climate risk is moderate (score: 57.9/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Renewable energy adoption is low at 10%, presenting a major opportunity for decarbonization. Climate vulnerability is elevated (0.514), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
TZA,Tanzania,57.4,"Tanzania's climate risk is moderate (score: 57.4/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes. Renewable energy adoption is low at 15%, presenting a major opportunity for decarbonization. Emissions are decreasing (-1.4% year-over-year). Climate vulnerability is elevated (0.516), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
IND,India,57.2,"India's climate risk is moderate (score: 57.2/100 as of 2024). Per-capita emissions are relatively low at 2.2 tonnes. Coal accounts for 66% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.3% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
LAO,Laos,56.9,"Laos's climate risk is moderate (score: 56.9/100 as of 2024). Per-capita emissions are relatively low at 3.1 tonnes. Coal accounts for 68% of CO₂ emissions, indicating heavy fossil fuel dependency. Emissions are increasing (+1.0% year-over-year). Key priorities: phasing out coal."
DJI,Djibouti,56.5,"Djibouti's climate risk is moderate (score: 56.5/100 as of 2024). Per-capita emissions are relatively low at 0.5 tonnes. Emissions are increasing (+1.1% year-over-year). Climate vulnerability is elevated (0.502), suggesting urgent need for adaptation investment. Key priorities: investing in climate adaptation."
TGO,Togo,56.5,"Togo's climate risk is moderate (score: 56.5/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes. Emissions are increasing (+3.1% year-over-year). Climate vulnerability is elevated (0.503), suggesting urgent need for adaptation investment. Key priorities: investing in climate adaptation."
CIV,Cote d'Ivoire,56.4,"Cote d'Ivoire's climate risk is moderate (score: 56.4/100 as of 2024). Per-capita emissions are relatively low at 0.5 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+5.5% year-over-year). Key priorities: accelerating renewable adoption."
PRK,North Korea,56.0,"North Korea's climate risk is moderate (score: 56.0/100 as of 2024). Per-capita emissions are relatively low at 2.4 tonnes. Coal accounts for 91% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Key priorities: phasing out coal, accelerating renewable adoption."
ZMB,Zambia,55.9,"Zambia's climate risk is moderate (score: 55.9/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Coal accounts for 50% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.8% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
LSO,Lesotho,55.9,"Lesotho's climate risk is moderate (score: 55.9/100 as of 2024). Per-capita emissions are relatively low at 1.1 tonnes. Coal accounts for 64% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.1% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
NPL,Nepal,55.8,"Nepal's climate risk is moderate (score: 55.8/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Coal accounts for 43% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 12%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.3% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
KEN,Kenya,55.1,"Kenya's climate risk is moderate (score: 55.1/100 as of 2024). Per-capita emissions are relatively low at 0.4 tonnes. Climate vulnerability is elevated (0.500), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
CMR,Cameroon,54.3,Cameroon's climate risk is moderate (score: 54.3/100 as of 2024). Per-capita emissions are relatively low at 0.3 tonnes.
VNM,Vietnam,53.5,"Vietnam's climate risk is moderate (score: 53.5/100 as of 2024). Per-capita emissions are relatively low at 3.7 tonnes. Coal accounts for 62% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 12%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+6.8% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
MOZ,Mozambique,52.9,"Mozambique's climate risk is moderate (score: 52.9/100 as of 2024). Per-capita emissions are relatively low at 0.2 tonnes. Renewable energy adoption is low at 14%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-5.3% year-over-year). Key priorities: accelerating renewable adoption."
LKA,Sri Lanka,52.7,"Sri Lanka's climate risk is moderate (score: 52.7/100 as of 2024). Per-capita emissions are relatively low at 0.9 tonnes. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+8.7% year-over-year). Key priorities: accelerating renewable adoption."
BLZ,Belize,52.5,"Belize's climate risk is moderate (score: 52.5/100 as of 2024). Per-capita emissions are relatively low at 1.9 tonnes. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Key priorities: accelerating renewable adoption."
SYR,Syria,52.4,"Syria's climate risk is moderate (score: 52.4/100 as of 2024). Per-capita emissions are relatively low at 1.3 tonnes. Renewable energy adoption is low at 11%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
ATG,Antigua and Barbuda,52.0,"Antigua and Barbuda's climate risk is moderate (score: 52.0/100 as of 2024). Per-capita emissions stand at 7.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.7% year-over-year). Key priorities: accelerating renewable adoption."
KHM,Cambodia,51.8,Cambodia's climate risk is moderate (score: 51.8/100 as of 2024). Per-capita emissions are relatively low at 1.2 tonnes. Emissions are increasing (+2.2% year-over-year).
ECU,Ecuador,50.8,"Ecuador's climate risk is moderate (score: 50.8/100 as of 2024). Per-capita emissions are relatively low at 2.5 tonnes. Renewable energy adoption is low at 11%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.1% year-over-year). Key priorities: accelerating renewable adoption."
NGA,Nigeria,50.7,Nigeria's climate risk is moderate (score: 50.7/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Emissions are increasing (+5.0% year-over-year). Key priorities: accelerating renewable adoption.
PHL,Philippines,49.4,"Philippines's climate risk is moderate (score: 49.4/100 as of 2024). Per-capita emissions are relatively low at 1.5 tonnes. Coal accounts for 53% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+8.6% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
FJI,Fiji,49.2,"Fiji's climate risk is moderate (score: 49.2/100 as of 2024). Per-capita emissions are relatively low at 1.6 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.6% year-over-year). Key priorities: accelerating renewable adoption."
GHA,Ghana,49.0,"Ghana's climate risk is moderate (score: 49.0/100 as of 2024). Per-capita emissions are relatively low at 0.6 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.4% year-over-year). Key priorities: accelerating renewable adoption."
HND,Honduras,48.9,"Honduras's climate risk is moderate (score: 48.9/100 as of 2024). Per-capita emissions are relatively low at 1.2 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.6% year-over-year). Key priorities: accelerating renewable adoption."
NIC,Nicaragua,48.9,"Nicaragua's climate risk is moderate (score: 48.9/100 as of 2024). Per-capita emissions are relatively low at 0.8 tonnes. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.7% year-over-year). Key priorities: accelerating renewable adoption."
SYC,Seychelles,48.1,"Seychelles's climate risk is moderate (score: 48.1/100 as of 2024). Per-capita emissions stand at 5.0 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.9% year-over-year). Key priorities: accelerating renewable adoption."
BWA,Botswana,48.0,"Botswana's climate risk is moderate (score: 48.0/100 as of 2024). Per-capita emissions are relatively low at 3.0 tonnes. Coal accounts for 58% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.9% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
SWZ,Eswatini,47.6,"Eswatini's climate risk is moderate (score: 47.6/100 as of 2024). Per-capita emissions are relatively low at 0.8 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.5% year-over-year). Key priorities: accelerating renewable adoption."
BHS,Bahamas,47.2,"Bahamas's climate risk is moderate (score: 47.2/100 as of 2024). Per-capita emissions stand at 7.7 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Key priorities: accelerating renewable adoption."
IDN,Indonesia,47.0,"Indonesia's climate risk is moderate (score: 47.0/100 as of 2024). Per-capita emissions are relatively low at 2.9 tonnes. Coal accounts for 54% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+6.5% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
DMA,Dominica,46.8,"Dominica's climate risk is moderate (score: 46.8/100 as of 2024). Per-capita emissions are relatively low at 2.6 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.6% year-over-year). Key priorities: accelerating renewable adoption."
BHR,Bahrain,46.5,"Bahrain's climate risk is moderate (score: 46.5/100 as of 2024). Per-capita emissions are very high at 24.3 tonnes, significantly above the global average. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption, implementing carbon pricing."
BOL,Bolivia,46.4,"Bolivia's climate risk is moderate (score: 46.4/100 as of 2024). Per-capita emissions are relatively low at 2.3 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+16.6% year-over-year). Key priorities: accelerating renewable adoption."
SRB,Serbia,46.0,"Serbia's climate risk is moderate (score: 46.0/100 as of 2024). Per-capita emissions stand at 6.2 tonnes. Coal accounts for 59% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.1% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
VCT,Saint Vincent and the Grenadines,45.5,"Saint Vincent and the Grenadines's climate risk is moderate (score: 45.5/100 as of 2024). Per-capita emissions are relatively low at 2.5 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.1% year-over-year). Key priorities: accelerating renewable adoption."
NAM,Namibia,45.3,"Namibia's climate risk is moderate (score: 45.3/100 as of 2024). Per-capita emissions are relatively low at 1.1 tonnes. Renewable energy adoption is low at 13%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
DOM,Dominican Republic,44.7,"Dominican Republic's climate risk is moderate (score: 44.7/100 as of 2024). Per-capita emissions are relatively low at 2.9 tonnes. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.1% year-over-year). Key priorities: accelerating renewable adoption."
GAB,Gabon,44.7,Gabon's climate risk is moderate (score: 44.7/100 as of 2024). Per-capita emissions are relatively low at 2.1 tonnes. Renewable energy makes up 46% of the energy mix — a strong position for energy transition. Emissions are increasing (+1.5% year-over-year).
